"deviceid"|"latitude"|"longitude"|"speed"|"satellite"|"lock"|"trktime"
"594"|"10.93948"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:40:31"
"594"|"10.93948"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:41:01"
"594"|"10.93948"|"106.54313"|"0"|"5"|"0"|"2012-11-09 01:41:32"
"594"|"10.93948"|"106.54314"|"0"|"6"|"0"|"2012-11-09 01:42:03"
"594"|"10.93948"|"106.54314"|"0"|"6"|"0"|"2012-11-09 01:42:34"
"594"|"10.93948"|"106.54314"|"0"|"5"|"0"|"2012-11-09 01:43:05"
"594"|"10.93948"|"106.54314"|"0"|"6"|"0"|"2012-11-09 01:43:36"
"594"|"10.93948"|"106.54314"|"0"|"6"|"0"|"2012-11-09 01:44:07"
"594"|"10.93948"|"106.54314"|"0"|"6"|"0"|"2012-11-09 01:44:38"
"594"|"10.93948"|"106.54314"|"0"|"6"|"0"|"2012-11-09 01:45:09"
"594"|"10.93948"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:45:40"
"594"|"10.93948"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:45:47"
"594"|"10.93948"|"106.54313"|"0"|"5"|"0"|"2012-11-09 01:46:17"
"594"|"10.93947"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:46:47"
"594"|"10.93947"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:47:17"
"594"|"10.93947"|"106.54313"|"0"|"5"|"0"|"2012-11-09 01:47:47"
"594"|"10.93947"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:48:17"
"594"|"10.93947"|"106.54313"|"0"|"5"|"0"|"2012-11-09 01:48:47"
"594"|"10.93947"|"106.54313"|"0"|"5"|"0"|"2012-11-09 01:49:17"
"594"|"10.93947"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:49:47"
"594"|"10.93946"|"106.54312"|"0"|"6"|"0"|"2012-11-09 01:50:17"
"594"|"10.93946"|"106.54312"|"0"|"6"|"0"|"2012-11-09 01:50:46"
"594"|"10.93946"|"106.54312"|"0"|"6"|"0"|"2012-11-09 01:51:16"
"594"|"10.93946"|"106.54312"|"0"|"6"|"0"|"2012-11-09 01:51:46"
"594"|"10.93946"|"106.54312"|"0"|"6"|"0"|"2012-11-09 01:52:16"
"594"|"10.93946"|"106.54313"|"0"|"5"|"0"|"2012-11-09 01:52:46"
"594"|"10.93945"|"106.54313"|"0"|"5"|"0"|"2012-11-09 01:53:16"
"594"|"10.93946"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:53:46"
"594"|"10.93946"|"106.54313"|"0"|"4"|"0"|"2012-11-09 01:54:16"
"594"|"10.93946"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:54:46"
"594"|"10.93947"|"106.54313"|"0"|"5"|"0"|"2012-11-09 01:55:16"
"594"|"10.93947"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:55:46"
"594"|"10.93947"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:56:16"
"594"|"10.93947"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:56:46"
"594"|"10.93947"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:57:16"
"594"|"10.93947"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:57:46"
"594"|"10.93947"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:58:16"
"594"|"10.93947"|"106.54313"|"0"|"5"|"0"|"2012-11-09 01:58:46"
"594"|"10.93948"|"106.54313"|"0"|"6"|"0"|"2012-11-09 01:59:16"
"594"|"10.93948"|"106.54313"|"0"|"7"|"0"|"2012-11-09 01:59:46"
"594"|"10.93948"|"106.54313"|"0"|"7"|"0"|"2012-11-09 02:00:16"
"594"|"10.93948"|"106.54313"|"0"|"7"|"0"|"2012-11-09 02:00:46"
"594"|"10.93948"|"106.54314"|"0"|"7"|"0"|"2012-11-09 02:01:16"
"594"|"10.93949"|"106.54314"|"0"|"6"|"0"|"2012-11-09 02:01:46"
"594"|"10.93949"|"106.54313"|"0"|"6"|"0"|"2012-11-09 02:02:16"
"594"|"10.93949"|"106.54313"|"0"|"7"|"0"|"2012-11-09 02:02:46"
"594"|"10.93949"|"106.54313"|"0"|"6"|"0"|"2012-11-09 02:03:16"
"594"|"10.93949"|"106.54313"|"0"|"7"|"0"|"2012-11-09 02:03:46"
"594"|"10.93949"|"106.54313"|"0"|"6"|"0"|"2012-11-09 02:04:16"
"594"|"10.93949"|"106.54313"|"0"|"6"|"0"|"2012-11-09 02:04:46"
"594"|"10.93949"|"106.54313"|"0"|"6"|"0"|"2012-11-09 02:05:16"
"594"|"10.93949"|"106.54313"|"0"|"5"|"0"|"2012-11-09 02:05:46"
"594"|"10.93949"|"106.54313"|"0"|"6"|"0"|"2012-11-09 02:06:16"
"594"|"10.93951"|"106.54311"|"0"|"6"|"0"|"2012-11-09 02:06:46"
"594"|"10.93952"|"106.54311"|"0"|"6"|"0"|"2012-11-09 02:07:16"
"594"|"10.93954"|"106.5431"|"0"|"6"|"0"|"2012-11-09 02:07:46"
"594"|"10.93954"|"106.5431"|"0"|"7"|"0"|"2012-11-09 02:08:16"
"594"|"10.93954"|"106.54309"|"0"|"5"|"0"|"2012-11-09 02:08:46"
"594"|"10.93954"|"106.54309"|"0"|"6"|"0"|"2012-11-09 02:09:16"
"594"|"10.93954"|"106.54309"|"0"|"7"|"0"|"2012-11-09 02:09:46"
"594"|"10.93954"|"106.5431"|"0"|"6"|"0"|"2012-11-09 02:10:16"
"594"|"10.93954"|"106.54311"|"0"|"4"|"0"|"2012-11-09 02:10:50"
"594"|"10.93953"|"106.54311"|"0"|"5"|"0"|"2012-11-09 02:11:17"
"594"|"10.93954"|"106.54312"|"0"|"6"|"0"|"2012-11-09 02:11:47"
"594"|"10.93954"|"106.54312"|"0"|"5"|"0"|"2012-11-09 02:12:17"
"594"|"10.93954"|"106.54312"|"0"|"6"|"0"|"2012-11-09 02:12:47"
"594"|"10.93954"|"106.54312"|"0"|"5"|"0"|"2012-11-09 02:13:17"
"594"|"10.93954"|"106.54312"|"0"|"6"|"0"|"2012-11-09 02:13:47"
"594"|"10.93954"|"106.54311"|"0"|"5"|"0"|"2012-11-09 02:14:17"
"594"|"10.93953"|"106.54311"|"0"|"6"|"0"|"2012-11-09 02:14:47"
"594"|"10.93953"|"106.54311"|"0"|"5"|"0"|"2012-11-09 02:15:17"
"594"|"10.93953"|"106.54311"|"0"|"6"|"0"|"2012-11-09 02:15:47"
"594"|"10.93953"|"106.54311"|"0"|"5"|"0"|"2012-11-09 02:16:17"
"594"|"10.93956"|"106.54311"|"0"|"5"|"0"|"2012-11-09 02:16:47"
"594"|"10.93957"|"106.5431"|"0"|"6"|"0"|"2012-11-09 02:17:17"
"594"|"10.93958"|"106.54309"|"0"|"6"|"0"|"2012-11-09 02:17:47"
"594"|"10.93958"|"106.54308"|"0"|"5"|"0"|"2012-11-09 02:18:17"
"594"|"10.93958"|"106.54309"|"0"|"6"|"0"|"2012-11-09 02:18:47"
"594"|"10.93956"|"106.5431"|"0"|"6"|"0"|"2012-11-09 02:19:17"
"594"|"10.93955"|"106.54311"|"0"|"7"|"0"|"2012-11-09 02:19:47"
"594"|"10.93955"|"106.54311"|"0"|"5"|"0"|"2012-11-09 02:20:17"
"594"|"10.93955"|"106.54312"|"0"|"7"|"0"|"2012-11-09 02:20:47"
"594"|"10.93957"|"106.54311"|"0"|"7"|"0"|"2012-11-09 02:21:17"
"594"|"10.93957"|"106.5431"|"0"|"6"|"0"|"2012-11-09 02:21:47"
"594"|"10.93956"|"106.5431"|"0"|"6"|"0"|"2012-11-09 02:22:17"
"594"|"10.93955"|"106.54309"|"0"|"6"|"0"|"2012-11-09 02:22:47"
"594"|"10.93955"|"106.54309"|"0"|"5"|"0"|"2012-11-09 02:23:17"
"594"|"10.93957"|"106.5431"|"0"|"7"|"0"|"2012-11-09 02:23:47"
"594"|"10.93956"|"106.54311"|"0"|"7"|"0"|"2012-11-09 02:24:17"
"594"|"10.93954"|"106.54312"|"0"|"7"|"0"|"2012-11-09 02:24:47"
